Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Expected Payout
2,0,5,6,5,0.0
2,0,5,6,6,0.0
2,0,5,6,7,0.0
2,0,5,6,8,0.0
2,0,5,6,9,0.0
2,0,5,6,10,0.0
2,0,5,7,0,0.0
2,0,5,7,1,0.0
2,0,5,7,2,0.0
2,0,5,7,3,0.0
2,0,5,7,4,0.0
2,0,5,7,5,0.0
2,0,5,7,6,0.0
2,0,5,7,7,0.0
2,0,5,7,8,0.0
2,0,5,7,9,0.0
2,0,5,7,10,0.0
6,6,0,9,0,3470266666.666666
6,6,0,9,1,3470132727.2727265
6,6,0,9,2,3470185714.2857137
6,6,0,9,3,3470196923.076922
6,6,0,9,4,3470150270.270269
6,6,0,9,5,3469799999.9999995
6,6,0,9,6,3470429999.9999986
6,6,0,9,7,3469912500.0
6,6,0,9,8,3469923428.5714273
6,6,0,9,9,3469444999.999999
6,6,0,9,10,3467999999.999999
6,6,0,8,0,3467999999.9999995
6,6,0,8,1,3469513043.4782615
6,6,0,8,2,3469450000.000001
6,6,0,8,3,3469288888.8888884
6,6,0,8,4,3469260869.5652184
6,6,0,8,5,3469288888.8888893
6,6,0,8,6,3469581818.1818175
6,6,0,8,7,3469386956.521739
6,6,0,8,8,3469450000.0000005
6,6,0,8,9,3469288888.888888
6,6,0,8,10,3467999999.999999
6,6,0,3,0,3433948310.4762826
6,6,0,3,1,3463566307.2057877
6,6,0,3,2,3485439198.718353
6,6,0,3,3,3504939756.787708
6,6,0,3,4,3505520252.634246
6,6,0,3,5,3488785613.932832
6,6,0,3,6,3459596531.788975
6,6,0,3,7,3436199824.5591927
6,6,0,3,8,3419337486.4386334
6,6,0,3,9,3419635315.582512
6,6,0,3,10,3412128800.000348
6,6,0,2,0,3413586870.26241
6,6,0,2,1,3455083334.014956
6,6,0,2,2,3484057634.147274
6,6,0,2,3,3498614311.81402
6,6,0,2,4,3494973601.5144424
6,6,0,2,5,3476515073.7306333
6,6,0,2,6,3441186058.643536
6,6,0,2,7,3405642242.5174913
6,6,0,2,8,3389216469.488262
6,6,0,2,9,3405819004.1409383
6,6,0,2,10,3389498642.2601485
6,6,0,1,0,3431227239.8243794
6,6,0,1,1,3463197763.6854205
6,6,0,1,2,3462497252.8931303
6,6,0,1,3,3410366459.81488
6,6,0,1,4,3401104791.427104
6,6,0,1,5,3405489438.8316708
6,6,0,1,6,3407169695.5888214
6,6,0,1,7,3402092190.085731
6,6,0,1,8,3412698878.873758
6,6,0,1,9,3422078683.0347896
6,6,0,1,10,3398992850.6052
6,6,0,0,0,3421392230.7086964
6,6,0,0,1,3405370442.018857
6,6,0,0,2,3349672861.172498
6,6,0,0,3,3317099629.4920173
6,6,0,0,4,3248237521.16055
6,6,0,0,5,3291817677.6143656
6,6,0,0,6,3380968090.303939
6,6,0,0,7,3446387383.0128355
6,6,0,0,8,3477049478.9555244
6,6,0,0,9,3410643110.4794126
6,6,0,0,10,3251176430.4635167
6,6,0,7,0,3493140768.5424786
6,6,0,7,1,3511360438.3760014
6,6,0,7,2,3493277400.9806952
6,6,0,7,3,3489810389.756248
6,6,0,7,4,3488976244.2196603
6,6,0,7,5,3474632608.196723
6,6,0,7,6,3474580081.1245003
6,6,0,7,7,3474611516.260162
