Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,15,0,5,4,5,5,no trade ,0
1,15,0,5,4,5,5,no trade ,0
2,15,5,5,4,5,5,no trade ,0
3,15,5,5,3,5,5,no trade ,0
4,15,0,5,3,5,5,no trade ,0
5,15,5,7,3,4,5,no trade ,0
6,15,0,4,3,5,5,no trade ,0
7,15,5,4,3,4,5,no trade ,0
8,15,5,5,3,5,5,no trade ,0
9,15,5,6,2,4,5,no trade ,0
10,15,5,4,2,5,5,no trade ,0
11,15,0,4,3,4,5,no trade ,0
12,15,0,4,5,5,5,no trade ,0
13,15,0,4,5,4,5,no trade ,0
14,15,0,4,4,5,5,no trade ,0
15,15,5,4,4,3,5,-0.0011115356559797144,10000
0,15,5,4,5,5,5,no trade ,0
1,15,5,6,6,4,5,no trade ,0
2,15,0,8,6,5,5,no trade ,0
3,15,5,4,8,5,5,no trade ,0
4,15,0,4,9,4,5,no trade ,0
5,15,0,3,8,5,5,no trade ,0
6,15,0,4,9,4,5,no trade ,0
7,15,0,4,8,5,5,no trade ,0
8,15,0,3,7,5,5,no trade ,0
9,15,0,4,7,4,5,no trade ,0
10,15,0,3,8,4,5,no trade ,0
11,15,5,4,8,4,5,no trade ,0
12,15,5,4,8,5,5,no trade ,0
13,15,0,4,7,4,5,no trade ,0
14,15,5,4,8,5,5,no trade ,0
15,15,0,5,8,5,5,0.04708169855213361,10000
0,15,5,5,7,5,5,no trade ,0
1,15,0,4,7,5,5,no trade ,0
2,15,0,6,6,6,5,no trade ,0
3,15,0,4,5,4,5,no trade ,0
4,15,0,3,5,5,5,no trade ,0
5,15,0,2,4,4,5,no trade ,0
6,15,0,5,5,5,5,no trade ,0
7,15,5,3,5,5,5,no trade ,0
8,15,0,4,5,5,5,no trade ,0
9,15,0,4,7,4,5,no trade ,0
10,15,5,5,7,5,5,no trade ,0
11,15,5,4,6,4,5,no trade ,0
12,15,5,5,7,4,5,no trade ,0
13,15,5,3,5,5,5,no trade ,0
14,15,5,3,5,5,5,no trade ,0
15,15,0,3,6,4,5,0.012502170515714534,10000
0,15,5,4,5,5,5,no trade ,0
1,15,0,3,4,4,5,no trade ,0
2,15,5,3,3,5,5,no trade ,0
