0.07157455395255384,-0.092297871973363,no trade,-0.025015311095584365,-37.08331823788698,-0.23895996342273482,-0.27698440776246647,no trade,no trade,-18.891368508258687,-0.400421132570462,no trade,no trade,no trade,-20.37558904251463,-0.40396367779580844,no trade,no trade,no trade,-8.882542424111577,-0.3948334701282993,no trade,no trade,no trade,-8.644247419824064,-0.417693604877416,-0.4011897350764336,no trade,no trade,-18.684041568240616,-0.21282854324918243,-0.21624426952685755,-0.16875373205368965,no trade,-12.483087439968848,-0.21719378704625103,-0.2518194169212264
no trade,-0.20788586117364938,no trade,-37.16476464042647,0.014667690528985946,-0.33212846901715853,-0.2510980145136378,no trade,-24.996151124458482,-0.400421132570462,no trade,no trade,no trade,-19.257815062227053,-0.40396367779580844,no trade,no trade,no trade,-9.314566878156157,-0.39844080863605325,no trade,no trade,no trade,-10.156634628682063,-0.4469650468146176,-0.3848315821334371,no trade,-0.3079211860155345,-18.393323469096384,-0.19295831927246926,-0.21282854324918243,-0.21624426952685755,no trade,-11.72217270532446,-0.20334876476441832,-0.21719378704625103,no trade
no trade,-0.283794391394733,-39.19202270355131,-0.014664147883618422,-0.171698259721659,no trade,-0.285613205512076,-15.782335936488762,-0.37453183520599254,no trade,no trade,no trade,-19.257815062227053,-0.4125455267291527,no trade,no trade,no trade,-20.37421883092221,-0.39967197548448363,-0.3967122151061789,no trade,no trade,-19.088056356067884,-0.24762762346747938,no trade,no trade,no trade,-18.53562717317972,-0.23276138064705934,no trade,-0.1816829027736923,-0.21624426952685755,-31.193478317308944,-0.19037399837316765,-0.21200190369056376,no trade,no trade
no trade,-37.559627013085596,-0.00948856627763545,no trade,no trade,no trade,-14.987962827139295,-0.24593346852483067,no trade,no trade,no trade,-20.343921555087523,-0.4195007423264165,-0.41599779055115393,no trade,no trade,-20.37421883092221,-0.39967197548448363,no trade,no trade,no trade,-9.466642434942147,-0.21435486101507398,no trade,no trade,no trade,-18.200300892301307,-0.2949852507374631,-0.16699980098469314,no trade,-0.1816829027736923,-12.549381541389154,-0.19902736193558437,-0.18691265294820097,no trade,no trade,-5.838437508112739
-7.096763622879712,-0.2906951668693769,-0.02846569883290635,no trade,no trade,-8.33295663351133,-0.285613205512076,no trade,-0.37453183520599254,no trade,-18.790814477295086,-0.38324759175499773,-0.41086903980941203,no trade,no trade,-20.371473949521803,-0.41772392246215456,no trade,no trade,no trade,-9.280210808242256,-0.38446585165665903,no trade,no trade,no trade,-8.864686297401306,-0.34081865679388257,no trade,-0.19122775138661752,no trade,-10.259581610229612,-0.15749121683598413,-0.18345130752323427,no trade,no trade,-5.69435382685069,-0.25786130868940693
